"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 03, 2022","0.136119","0.137059","0.138802","0.134797","833.23M","-0.68%"
"Feb 02, 2022","0.137058","0.142329","0.146100","0.136238","915.12M","-3.71%"
"Feb 01, 2022","0.142331","0.141611","0.144250","0.140893","766.06M","0.49%"
"Jan 31, 2022","0.141632","0.139249","0.142377","0.136478","761.97M","1.69%"
"Jan 30, 2022","0.139284","0.142894","0.143683","0.138172","652.68M","-2.56%"
"Jan 29, 2022","0.142947","0.141465","0.143986","0.140551","645.28M","1.01%"
"Jan 28, 2022","0.141519","0.141355","0.142473","0.137964","883.86M","0.20%"
"Jan 27, 2022","0.141236","0.143016","0.145477","0.136276","1.30B","-1.21%"
"Jan 26, 2022","0.142961","0.142660","0.153061","0.141062","2.42B","0.21%"
"Jan 25, 2022","0.142655","0.137328","0.149085","0.132605","2.41B","3.86%"
"Jan 24, 2022","0.137352","0.141759","0.141804","0.126167","3.07B","-3.10%"
"Jan 23, 2022","0.141739","0.133278","0.144228","0.132155","2.35B","6.36%"
"Jan 22, 2022","0.133266","0.142031","0.145131","0.120493","4.22B","-6.24%"
"Jan 21, 2022","0.142142","0.155381","0.157406","0.140155","2.76B","-8.56%"
"Jan 20, 2022","0.155450","0.161634","0.169228","0.154094","1.40B","-3.80%"
"Jan 19, 2022","0.161593","0.165118","0.169457","0.159315","1.59B","-2.15%"
"Jan 18, 2022","0.165144","0.170955","0.174161","0.161821","1.70B","-3.42%"
"Jan 17, 2022","0.170996","0.176683","0.177928","0.165780","1.86B","-3.20%"
"Jan 16, 2022","0.176653","0.184707","0.184707","0.173712","1.77B","-4.35%"
"Jan 15, 2022","0.184686","0.183131","0.194355","0.181760","2.74B","0.89%"
"Jan 14, 2022","0.183061","0.171686","0.211988","0.170741","8.91B","6.64%"
"Jan 13, 2022","0.171666","0.162804","0.176629","0.161362","3.74B","5.47%"
"Jan 12, 2022","0.162769","0.153702","0.163087","0.151351","1.54B","5.91%"
"Jan 11, 2022","0.153689","0.143175","0.165965","0.141826","2.78B","7.34%"
"Jan 10, 2022","0.143180","0.150545","0.152149","0.137370","1.47B","-4.87%"
"Jan 09, 2022","0.150507","0.150882","0.153731","0.148723","699.42M","-0.24%"
"Jan 08, 2022","0.150862","0.154882","0.157782","0.145722","1.08B","-2.59%"
"Jan 07, 2022","0.154876","0.160096","0.160204","0.149425","1.88B","-3.26%"
"Jan 06, 2022","0.160091","0.158952","0.161965","0.154099","1.21B","0.76%"
"Jan 05, 2022","0.158881","0.168516","0.170927","0.147528","1.78B","-5.71%"
"Jan 04, 2022","0.168498","0.170280","0.172556","0.166777","849.69M","-0.97%"
"Jan 03, 2022","0.170154","0.174443","0.174493","0.167531","798.45M","-2.45%"
